Age,Employment Type,GraduateOrNot,Annual Income,FamilyMembers,FrequentFlyer,Ever Travelled Abroad,TravelInsurance
31,Government Sector,Yes,"$400,000",6,No,No,0
31,Private Sector/Self Employed,Yes,"$1,250,000",7,No,No,0
34,Private Sector/Self Employed,Yes,"$500,000",4,No,No,1
28,Private Sector/Self Employed,Yes,"$700,000",3,No,No,0
28,Private Sector/Self Employed,Yes,"$700,000",8,Yes,No,0
25,Private Sector/Self Employed,No,"$1,150,000",4,No,No,0
31,Government Sector,Yes,"$1,300,000",4,No,No,0
31,Private Sector/Self Employed,Yes,"$1,350,000",3,Yes,Yes,1
28,Private Sector/Self Employed,Yes,"$1,450,000",6,Yes,Yes,1
33,Government Sector,Yes,"$800,000",3,Yes,No,0
31,Government Sector,Yes,"$400,000",,No,,0
26,Private Sector/Self Employed,Yes,"$1,400,000",5,Yes,Yes,1
32,Government Sector,Yes,"$850,000",6,No,No,1
31,Government Sector,Yes,"$1,500,000",6,Yes,Yes,1
31,Government Sector,Yes,"$400,000",3,No,No,0
34,Private Sector/Self Employed,Yes,"$700,000",7,No,No,0
28,Private Sector/Self Employed,Yes,"$1,150,000",4,No,No,0
28,Private Sector/Self Employed,Yes,"$800,000",7,No,No,1
29,Private Sector/Self Employed,Yes,"$1,050,000",5,No,No,1
34,Private Sector/Self Employed,Yes,"$1,500,000",2,Yes,Yes,1
28,Private Sector/Self Employed,Yes,"$1,150,000",6,,No,0
29,Private Sector/Self Employed,Yes,"$350,000",3,No,No,1
31,Private Sector/Self Employed,Yes,"$1,100,000",4,No,No,0
28,Government Sector,Yes,"$600,000",9,No,No,1
31,Government Sector,Yes,"$1,500,000",7,Yes,Yes,0
35,Private Sector/Self Employed,No,"$800,000",4,No,Yes,0
34,Private Sector/Self Employed,No,"$1,300,000",6,Yes,No,1
28,Private Sector/Self Employed,Yes,"$1,250,000",2,Yes,No,0
26,Private Sector/Self Employed,Yes,"$600,000",4,Yes,No,0
